WOLFMBAKEDRTZEGI	8	Badger	Boar	Deer	Meerkat	Tiger	Wolf	Wombat	Zebra
ZIRHTEBALOCBUYON	8	Baboon	Caribou	Coyote	Hare	Ocelot	Rabbit	Racoon	Zebra
LLTWREAHUEMNDSTA	8	Anteater	Deer	Hamster	Llama	Manatee	Seal	Walrus	Whale
HYEZRBNKCAOWTOBM	8	Baboon	Boar	Bobcat	Hyena	Monkey	Racoon	Wombat	Zebra
HAREUDEVIGABGNOJ	8	Badger	Bear	Beaver	Deer	Dingo	Dugong	Hare	Jaguar
ONGIMOBTOBACUSEL	8	Baboon	Bobcat	Gibbon	Goat	Mongoose	Moose	Mouse	Seal
HTTSOAMEPKREPIHC	8	Cheetah	Hamster	Hare	Hippo	Meerkat	Okapi	Otter	Tapir
DVETIEARTBBCANOO	8	Anteater	Baboon	Bear	Beaver	Bobcat	Deer	Rabbit	Racoon
HYNKSUEAKSMLXOOP	8	Human	Hyena	Mole	Moose	Musk Ox	Possum	Seal	Skunk
ZRTNBEASLEHMHCPI	8	Bear	Cheetah	Chimp	Elephant	Hamster	Hare	Sheep	Zebra
LCFELARFBIONTBGU	8	Boar	Caribou	Gibbon	Giraffe	Gorilla	Lion	Orca	Rabbit
PGESDERHHATOBWTG	8	Badger	Deer	Hare	Hedgehog	Horse	Otter	Sheep	Warthog
TKOGAPNRLMIHALDC	8	Chimp	Dingo	Gorilla	Impala	Llama	Okapi	Rhino	Tapir
FRETELRTCSOHMOYW	8	Coyote	Ferret	Horse	Moose	Ocelot	Otter	Sloth	Wolf
UCPTBOAPOBIRNSHG	8	Bison	Boar	Bobcat	Caribou	Gibbon	Hippo	Racoon	Tapir
HYEXCLNKZALOGEMA	8	Camel	Gazelle	Hyena	Koala	Llama	Lynx	Mole	Monkey
POREKPHSAOIAGNDL	8	Dingo	Hippo	Horse	Lion	Okapi	Panda	Porpoise	Rhino
DMRKEEAAGBTNBIOT	8	Bear	Deer	Gibbon	Manatee	Meerkat	Otter	Rabbit	Tiger
HIMPSOPOEKARALDC	8	Hippo	Impala	Koala	Leopard	Okapi	Orca	Porpoise	Seal
DEERTTAHONCHYOAM	8	Anteater	Cheetah	Coyote	Deer	Hare	Manatee	Otter	Racoon
PORPHSOGEMINMLOB	8	Bison	Horse	Lemming	Lion	Mole	Mongoose	Moose	Porpoise
IMPXKUOASKNLYEAD	8	Impala	Koala	Monkey	Mouse	Musk Ox	Panda	Seal	Skunk
GOTFYALEBOCLMBWA	8	Bobcat	Coyote	Goat	Mole	Ocelot	Wallaby	Wolf	Wombat
IBCXRAOMBOUKKNSE	8	Baboon	Boar	Caribou	Moose	Mouse	Musk Ox	Racoon	Skunk
SELLPAMACMNDUHIG	8	Camel	Chimp	Human	Impala	Lemming	Llama	Panda	Seal
DHRCBIOASONGKUKA	8	Bison	Caribou	Dingo	Kangaroo	Orca	Racoon	Rhino	Skunk
RUEOSLMCKOABXWTH	8	Camel	Lemur	Mole	Musk Ox	Ocelot	Sloth	Walrus	Wombat
DTRFANERMHAEUSTP	8	Anteater	Ferret	Hamster	Hare	Human	Manatee	Panda	Sheep
CATMBBMEOOILWSNG	8	Baboon	Bison	Bobcat	Camel	Gibbon	Lemming	Lion	Wombat
JKAHAGURNMOSOLEO	8	Human	Jaguar	Kangaroo	Lemur	Mole	Mongoose	Moose	Mouse
SHELCMELATAPDNHW	8	Camel	Cheetah	Elephant	Llama	Manatee	Panda	Sheep	Whale
LYNXEKOAISOMBRUH	8	Bison	Horse	Human	Lynx	Monkey	Moose	Mouse	Musk Ox
GIBBNNOCAGARJTUD	8	Boar	Bobcat	Dugong	Gibbon	Goat	Jaguar	Orangutan	Orca
HYTDUMENREAALKTC	8	Anteater	Camel	Deer	Human	Hyena	Lemur	Manatee	Meerkat
MDGKIOUSLNOEGOKY	8	Dingo	Dugong	Lion	Mongoose	Monkey	Moose	Mouse	Skunk
ZEAUGRBOAIBYTCAP	8	Bear	Boar	Bobcat	Capybara	Caribou	Rabbit	Tiger	Zebra
RHMBJPINALOSCKAD	8	Bison	Dolphin	Impala	Jackal	Koala	Lion	Okapi	Rhino
ZEFFRBAVTREDOTIG	8	Badger	Bear	Beaver	Ferret	Giraffe	Otter	Tiger	Zebra
HUSSIMOKAPAXLLYN	8	Human	Impala	Koala	Llama	Lynx	Musk Ox	Okapi	Possum
CADEBBRGOOIHUNST	8	Baboon	Badger	Bison	Caribou	Gibbon	Rabbit	Rhino	Tiger
LARSBLMUYEAHXNWC	8	Camel	Human	Lemur	Llama	Lynx	Wallaby	Walrus	Whale
SKPMLPUIOCHNDREK	6	Chimp	Chipmunk	Dolphin	Hippo	Porcupine	Skunk
FLWBPAOGRHNDETIA	8	Boar	Dingo	Dolphin	Hare	Panda	Rhino	Warthog	Wolf
WLAJACREKOUSHNOK	8	Horse	Jackal	Koala	Orca	Racoon	Seal	Skunk	Walrus
GERWDEMAIALOCLBY	8	Armadillo	Badger	Boar	Camel	Deer	Llama	Mole	Wallaby
FFEBWALSNORUGIHT	8	Bear	Giraffe	Horse	Rhino	Seal	Walrus	Warthog	Wolf
BOKNTAGIPIDEDKRE	8	Badger	Deer	Dik-dik	Dingo	Goat	Okapi	Tapir	Tiger
HCHRBAREMOTEBSWF	8	Boar	Bobcat	Cheetah	Ferret	Hamster	Hare	Orca	Wombat
ODASNTELATERHPIG	8	Anteater	Deer	Elephant	Otter	Panda	Seal	Tapir	Tiger
JAGSKCUMWAREHOLF	8	Hare	Jackal	Jaguar	Lemur	Orca	Walrus	Whale	Wolf
TGRYIBEABSOKKUNM	8	Bear	Bison	Boar	Gibbon	Monkey	Mouse	Skunk	Tiger
WZESGALUHORLMTIE	8	Gazelle	Gorilla	Hare	Mole	Seal	Sloth	Walrus	Warthog
KCALROBAAEERZVDR	8	Aarrdvark	Bear	Beaver	Boar	Deer	Koala	Orca	Zebra
TIMUNGMROOEAOSCL	8	Camel	Lemming	Lemur	Mongoose	Moose	Racoon	Seal	Tiger
ZBEDLERHTSOASUMP	8	Deer	Hamster	Hare	Horse	Leopard	Mouse	Possum	Zebra
OCRTGOAMSNOUKEYH	8	Goat	Human	Hyena	Mongoose	Monkey	Moose	Orca	Racoon
WLPBHAERTPRSYIUQ	7	Bear	Hare	Platypus	Seal	Squirrel	Tapir	Whale
MOTSPELHRAEYADNX	8	Deer	Hyena	Leopard	Lynx	Mole	Panda	Sheep	Sloth
GDBBEOALORLTNIHP	8	Baboon	Badger	Boar	Dolphin	Goat	Gorilla	Lion	Rhino
DERRFLEKOMATWHSC	8	Camel	Deer	Ferret	Hamster	Meerkat	Mole	Whale	Wolf
BTOKUOANGNRPDAIH	8	Boar	Goat	Kangaroo	Okapi	Orangutan	Panda	Rhino	Tapir
BARUTBMOIEONZSLW	8	Baboon	Bison	Lemur	Mole	Moose	Rabbit	Wombat	Zebra
FERRTHEGPTIDSLON	8	Deer	Dolphin	Ferret	Lion	Otter	Rhino	Sloth	Tiger
BKADPORPMUOILESS	8	Boar	Lemur	Leopard	Moose	Mouse	Okapi	Porpoise	Possum
LIOGPNGUAEIDRHYT	8	Dingo	Dugong	Guinea Pig	Hare	Hyena	Lion	Rhino	Tiger
GHTWBOAROCLUBNES	8	Boar	Bobcat	Goat	Ocelot	Racoon	Sloth	Walrus	Warthog
KGAANOLPGIMERUDM	8	Dingo	Dugong	Impala	Koala	Lemming	Lemur	Lion	Mole
CEIDHREPOSTALOMH	8	Cheetah	Deer	Hamster	Horse	Moose	Sheep	Sloth	Tapir
WROAHCLYIAEOPMKT	8	Camel	Chimp	Coyote	Impala	Ocelot	Okapi	Orca	Whale
GMNAUOATOHELRSPE	8	Elephant	Goat	Horse	Human	Manatee	Moose	Seal	Sheep
CARHEBINZSOPSUMP	8	Bear	Bison	Caribou	Hippo	Mouse	Possum	Rhino	Zebra
OKIPCOALRANYJDGX	8	Jackal	Kangaroo	Lion	Lynx	Okapi	Orca	Panda	Racoon
GOANCHTMPESORELU	8	Elephant	Goat	Hamster	Mole	Mouse	Ocelot	Sheep	Sloth
ZARADEBHGNYPXCAL	8	Badger	Bear	Capybara	Hare	Hyena	Lynx	Panda	Zebra
WTOSHALPRIPEDNOC	8	Hippo	Leopard	Lion	Ocelot	Rhino	Sloth	Tapir	Whale
MEDAIPELSHARCOKT	8	Chimp	Deer	Hare	Impala	Koala	Meerkat	Okapi	Sheep
HZLEWAELGBAIYORT	8	Bear	Boar	Gazelle	Goat	Gorilla	Wallaby	Whale	Zebra
WHRSMOIEENLVKYXF	8	Horse	Lion	Lynx	Mole	Monkey	Rhino	Wolf	Wolverine
LDAUILMROSEATTHC	8	Armadillo	Camel	Hamster	Hare	Lemur	Llama	Otter	Sloth
WOLFMVETEBANZRIP	8	Bear	Beaver	Mole	Tapir	Wolf	Wolverine	Wombat	Zebra
HOYNCROTASETBBIG	8	Bison	Coyote	Horse	Orca	Otter	Rabbit	Racoon	Tiger
KRWFUOLASAMLTEBY	8	Koala	Llama	Mouse	Seal	Wallaby	Walrus	Wolf	Wombat
MOOTCYLTHENEPARX	8	Coyote	Elephant	Hare	Hyena	Lynx	Mole	Ocelot	Otter
